Type,Read Blank,Trial,Initial Population,Persist,Ave_yield,yield_sd
H1,0,1,0,0,,
H10,0,1,0,0,,
H11,0.001,1,0,0,,
H12,0,1,0,0,,
H2,0.006,1,0,0,,
H3,0.004,1,0,0,,
H4,0.001,1,0,0,,
H5,-0.003,1,0,0,,
H6,0.001,1,0,0,,
H7,0.001,1,0,0,,
H8,0,1,0,0,,
H9,0.004,1,0,0,,
H1,-0.004,2,0,0,,
H10,0.016,2,0,0,,
H11,-0.006,2,0,0,,
H12,0.017,2,0,0,,
H2,-0.007,2,0,0,,
H3,-0.001,2,0,0,,
H4,-0.004,2,0,0,,
H5,0.006,2,0,0,,
H6,-0.005,2,0,0,,
H7,-0.005,2,0,0,,
H8,0.035,2,0,0,,
H9,0.008,2,0,0,,
H1,0.009,3,0,0,,
H10,0.003,3,0,0,,
H11,0.004,3,0,0,,
H12,0.007,3,0,0,,
H2,0.002,3,0,0,,
H3,0.004,3,0,0,,
H4,0.002,3,0,0,,
H5,0.006,3,0,0,,
H6,0.004,3,0,0,,
H7,0.004,3,0,0,,
H8,0.002,3,0,0,,
H9,0.001,3,0,0,,
A1,0.488,1,1,1,0.38555,0.064789924
A10,,1,1,0,,
A11,,1,1,0,,
A12,0.22,1,1,1,,
A2,,1,1,0,,
A3,,1,1,0,,
A4,0.432,1,1,1,,
A5,0.463,1,1,1,,
A6,,1,1,0,,
A7,0.465,1,1,1,,
A8,,1,1,0,,
A9,0.42,1,1,1,,
A1,0.437,2,1,1,,
A10,,2,1,0,,
A11,0.407,2,1,1,,
A12,0.279,2,1,1,,
A2,,2,1,0,,
A3,,2,1,0,,
A4,0.42,2,1,1,,
A5,,2,1,0,,
A6,0.423,2,1,1,,
A7,0.371,2,1,1,,
A8,0.354,2,1,1,,
A9,0.385,2,1,1,,
A1,,3,1,0,,
A10,0.316,3,1,1,,
A11,,3,1,0,,
A12,0.355,3,1,1,,
A2,0.366,3,1,1,,
A3,0.344,3,1,1,,
A4,,3,1,0,,
A5,0.378,3,1,1,,
A6,0.388,3,1,1,,
A7,,3,1,0,,
A8,,3,1,0,,
A9,,3,1,0,,
B1,0.494,1,2,1,0.383576923,0.04553168
B10,,1,2,0,,
B11,,1,2,0,,
B12,0.403,1,2,1,,
B2,0.432,1,2,1,,
B3,,1,2,0,,
B4,0.453,1,2,1,,
B5,,1,2,0,,
B6,0.45,1,2,1,,
B7,,1,2,0,,
B8,,1,2,0,,
B9,0.398,1,2,1,,
B1,0.412,2,2,1,,
B10,0.356,2,2,1,,
B11,0.387,2,2,1,,
B12,0.374,2,2,1,,
B2,0.418,2,2,1,,
B3,0.402,2,2,1,,
B4,0.401,2,2,1,,
B5,0.412,2,2,1,,
B6,,2,2,0,,
B7,,2,2,0,,
B8,0.404,2,2,1,,
B9,,2,2,0,,
B1,0.355,3,2,1,,
B10,0.339,3,2,1,,
B11,0.355,3,2,1,,
B12,0.351,3,2,1,,
B2,0.294,3,2,1,,
B3,0.311,3,2,1,,
B4,0.353,3,2,1,,
B5,0.364,3,2,1,,
B6,,3,2,0,,
B7,0.339,3,2,1,,
B8,0.367,3,2,1,,
B9,0.349,3,2,1,,
C1,0.517,1,4,1,0.388485714,0.05176495
C10,0.34,1,4,1,,
C11,0.415,1,4,1,,
C12,0.405,1,4,1,,
C2,0.505,1,4,1,,
C3,0.504,1,4,1,,
C4,0.488,1,4,1,,
C5,0.348,1,4,1,,
C6,0.422,1,4,1,,
C7,0.453,1,4,1,,
C8,0.445,1,4,1,,
C9,0.379,1,4,1,,
C1,0.406,2,4,1,,
C10,0.355,2,4,1,,
C11,0.348,2,4,1,,
C12,0.358,2,4,1,,
C2,0.37,2,4,1,,
C3,0.382,2,4,1,,
C4,0.383,2,4,1,,
C5,0.394,2,4,1,,
C6,0.388,2,4,1,,
C7,0.369,2,4,1,,
C8,0.383,2,4,1,,
C9,0.372,2,4,1,,
C1,,3,4,0,,
C10,0.353,3,4,1,,
C11,0.345,3,4,1,,
C12,0.344,3,4,1,,
C2,0.357,3,4,1,,
C3,0.375,3,4,1,,
C4,0.376,3,4,1,,
C5,0.371,3,4,1,,
C6,0.323,3,4,1,,
C7,0.312,3,4,1,,
C8,0.363,3,4,1,,
C9,0.349,3,4,1,,
D1,0.487,1,8,1,0.394277778,0.048950477
D10,0.366,1,8,1,,
D11,0.412,1,8,1,,
D12,0.411,1,8,1,,
D2,0.504,1,8,1,,
D3,0.503,1,8,1,,
D4,0.476,1,8,1,,
D5,0.473,1,8,1,,
D6,0.455,1,8,1,,
D7,0.419,1,8,1,,
D8,0.456,1,8,1,,
D9,0.393,1,8,1,,
D1,0.387,2,8,1,,
D10,0.358,2,8,1,,
D11,0.347,2,8,1,,
D12,0.366,2,8,1,,
D2,0.407,2,8,1,,
D3,0.391,2,8,1,,
D4,0.371,2,8,1,,
D5,0.393,2,8,1,,
D6,0.388,2,8,1,,
D7,0.387,2,8,1,,
D8,0.396,2,8,1,,
D9,0.382,2,8,1,,
D1,0.372,3,8,1,,
D10,0.363,3,8,1,,
D11,0.311,3,8,1,,
D12,0.356,3,8,1,,
D2,0.328,3,8,1,,
D3,0.37,3,8,1,,
D4,0.359,3,8,1,,
D5,0.368,3,8,1,,
D6,0.321,3,8,1,,
D7,0.379,3,8,1,,
D8,0.374,3,8,1,,
D9,0.365,3,8,1,,
E1,0.467,1,16,1,0.387944444,0.038841027
E10,0.35,1,16,1,,
E11,0.409,1,16,1,,
E12,0.415,1,16,1,,
E2,0.385,1,16,1,,
E3,0.505,1,16,1,,
E4,0.483,1,16,1,,
E5,0.355,1,16,1,,
E6,0.463,1,16,1,,
E7,0.36,1,16,1,,
E8,0.436,1,16,1,,
E9,0.358,1,16,1,,
E1,0.397,2,16,1,,
E10,0.375,2,16,1,,
E11,0.337,2,16,1,,
E12,0.362,2,16,1,,
E2,0.373,2,16,1,,
E3,0.4,2,16,1,,
E4,0.37,2,16,1,,
E5,0.384,2,16,1,,
E6,0.361,2,16,1,,
E7,0.383,2,16,1,,
E8,0.378,2,16,1,,
E9,0.373,2,16,1,,
E1,0.383,3,16,1,,
E10,0.378,3,16,1,,
E11,0.367,3,16,1,,
E12,0.367,3,16,1,,
E2,0.372,3,16,1,,
E3,0.385,3,16,1,,
E4,0.379,3,16,1,,
E5,0.39,3,16,1,,
E6,0.328,3,16,1,,
E7,0.379,3,16,1,,
E8,0.376,3,16,1,,
E9,0.383,3,16,1,,
F1,0.474,1,32,1,0.392138889,0.041082602
F10,0.347,1,32,1,,
F11,0.413,1,32,1,,
F12,0.414,1,32,1,,
F2,0.386,1,32,1,,
F3,0.498,1,32,1,,
F4,0.474,1,32,1,,
F5,0.469,1,32,1,,
F6,0.425,1,32,1,,
F7,0.446,1,32,1,,
F8,0.424,1,32,1,,
F9,0.416,1,32,1,,
F1,0.397,2,32,1,,
F10,0.337,2,32,1,,
F11,0.33,2,32,1,,
F12,0.355,2,32,1,,
F2,0.364,2,32,1,,
F3,0.375,2,32,1,,
F4,0.387,2,32,1,,
F5,0.392,2,32,1,,
F6,0.392,2,32,1,,
F7,0.377,2,32,1,,
F8,0.391,2,32,1,,
F9,0.34,2,32,1,,
F1,0.402,3,32,1,,
F10,0.368,3,32,1,,
F11,0.366,3,32,1,,
F12,0.369,3,32,1,,
F2,0.376,3,32,1,,
F3,0.384,3,32,1,,
F4,0.396,3,32,1,,
F5,0.382,3,32,1,,
F6,0.378,3,32,1,,
F7,0.37,3,32,1,,
F8,0.326,3,32,1,,
F9,0.377,3,32,1,,
G1,0.48,1,64,1,0.393027778,0.036229811
G10,0.414,1,64,1,,
G11,0.424,1,64,1,,
G12,0.424,1,64,1,,
G2,0.392,1,64,1,,
G3,0.385,1,64,1,,
G4,0.444,1,64,1,,
G5,0.443,1,64,1,,
G6,0.445,1,64,1,,
G7,0.421,1,64,1,,
G8,0.461,1,64,1,,
G9,0.365,1,64,1,,
G1,0.411,2,64,1,,
G10,0.373,2,64,1,,
G11,0.342,2,64,1,,
G12,0.368,2,64,1,,
G2,0.367,2,64,1,,
G3,0.366,2,64,1,,
G4,0.359,2,64,1,,
G5,0.405,2,64,1,,
G6,0.421,2,64,1,,
G7,0.4,2,64,1,,
G8,0.355,2,64,1,,
G9,0.345,2,64,1,,
G1,0.411,3,64,1,,
G10,0.381,3,64,1,,
G11,0.39,3,64,1,,
G12,0.383,3,64,1,,
G2,0.411,3,64,1,,
G3,0.393,3,64,1,,
G4,0.393,3,64,1,,
G5,0.334,3,64,1,,
G6,0.349,3,64,1,,
G7,0.345,3,64,1,,
G8,0.401,3,64,1,,
G9,0.348,3,64,1,,
